** CONVERTED FROM D:\NYU_RS_LC\rawdata\MRI_FCWML001\logfiles-ses-day1\MRI_FCWML001day1rest1.EDF using edfapi 3.1 Win32 Jul  4 2014 on Thu Nov 26 13:34:25 2020
** DATE: Sat Apr  6 14:14:41 2019
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.09 Nov 17 2015
** CAMERA: EyeLink CL-OL HEAD Version 1.0 Sensor=BGC
** SERIAL NUMBER: CLO-ZAF03
** CAMERA_CONFIG: ZAF03140.SCD
**

MSG	7445485 PYGAZE RMS CALIBRATION START
MSG	7445487 RECCFG CR 250 2 1 R
MSG	7445487 ELCLCFG MLRR
MSG	7445487 GAZE_COORDS 0.00 0.00 1280.00 1024.00
MSG	7445487 THRESHOLDS R 64 200
MSG	7445487 ELCL_WINDOW_SIZES 176 188 0 0
MSG	7445487 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	7445487 ELCL_PROC ELLIPSE  (5)
MSG	7445487 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	7445488 !MODE RECORD CR 250 2 1 R
START	7445491 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	 250.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 250.00	TRACKING	CR	FILTER	2
SFIX R   7445491
7445491	  628.5	  528.3	 1568.0	...
7445495	  628.4	  527.9	 1569.0	...
7445499	  628.0	  527.4	 1569.0	...
7445503	  626.9	  525.5	 1571.0	...
7445507	  626.3	  523.2	 1576.0	...
7445511	  627.7	  522.7	 1577.0	...
7445515	  628.9	  525.3	 1580.0	...
7445519	  629.0	  530.2	 1583.0	...
7445523	  629.2	  531.1	 1586.0	...
7445527	  627.4	  530.6	 1589.0	...
7445531	  626.7	  529.3	 1588.0	...
7445535	  628.7	  529.4	 1593.0	...
7445539	  628.9	  532.5	 1596.0	...
7445543	  627.5	  530.7	 1598.0	...
7445547	  627.0	  530.0	 1600.0	...
7445551	  627.3	  530.5	 1602.0	...
7445555	  628.6	  529.7	 1602.0	...
7445559	  630.0	  528.4	 1603.0	...
7445563	  630.5	  528.8	 1604.0	...
7445567	  630.2	  528.8	 1604.0	...
7445571	  629.9	  527.5	 1607.0	...
7445575	  629.2	  529.8	 1612.0	...
7445579	  628.6	  531.9	 1612.0	...
7445583	  629.1	  533.0	 1619.0	...
7445587	  629.2	  533.8	 1620.0	...
7445591	  628.2	  533.8	 1614.0	...
7445595	  626.5	  534.0	 1616.0	...
7445599	  624.8	  531.7	 1622.0	...
EFIX R   7445491	7445599	112	  628.2	  529.5	   1597
SSACC R  7445603
7445603	  623.5	  525.2	 1630.0	...
7445607	  623.5	  533.6	 1627.0	...
7445611	  595.6	  645.9	 1441.0	...
7445615	  452.9	  798.2	  909.0	...
7445619	  391.1	  936.3	  434.0	...
7445623	  427.9	 1077.9	  122.0	...
